id,species,year,x,y,accuracy,coordinates_obscured,source
241124661,Pseudacris crucifer,2024,-94.2134166667,36.0203083333,4,FALSE,INaturalist
241124585,Pseudacris crucifer,2024,-94.2134466667,36.0203388333,4,FALSE,INaturalist
241099470,Pseudacris crucifer,2024,-75.0043647644,44.6626533335,3,FALSE,INaturalist
241085072,Pseudacris crucifer,2024,-69.9850060708,41.8473552055,5,FALSE,INaturalist
241053930,Pseudacris crucifer,2024,-84.9030457,45.3968859,177,FALSE,INaturalist
241053350,Pseudacris crucifer,2024,-89.6560666667,37.8592133333,4,FALSE,INaturalist
241038108,Pseudacris crucifer,2024,-63.4756339354,44.672220641,20,FALSE,INaturalist
241034931,Pseudacris crucifer,2024,-72.5224947967,42.4365781432,30,FALSE,INaturalist
241025578,Pseudacris crucifer,2024,-70.3030160442,43.9462093183,23,FALSE,INaturalist
241022740,Pseudacris crucifer,2024,-86.1053083333,45.96672,5,FALSE,INaturalist
241010836,Pseudacris crucifer,2024,-71.5112833333,41.5681883333,4,FALSE,INaturalist
241007503,Pseudacris crucifer,2024,-76.0778278333,45.6191466667,10,FALSE,INaturalist
241000771,Pseudacris crucifer,2024,-85.4350991528,41.9558554176,24,FALSE,INaturalist
240962975,Pseudacris crucifer,2024,-87.9505383333,43.3613866667,5,FALSE,INaturalist
240962689,Pseudacris crucifer,2024,-72.2269110778,45.3896788918,172,FALSE,INaturalist
240936133,Pseudacris crucifer,2015,-81.7564693,41.1106379,194,FALSE,INaturalist
240924722,Pseudacris crucifer,2024,-75.9748145565,42.084560524,5,FALSE,INaturalist
240908516,Pseudacris crucifer,2024,-86.5926229404,48.7675091973,150,FALSE,INaturalist
240885531,Pseudacris crucifer,2024,-84.37928,42.8251,15,FALSE,INaturalist
240851419,Pseudacris crucifer,2024,-84.2867222508,39.162435759,15,FALSE,INaturalist
240840785,Pseudacris crucifer,2024,-81.6806283333,41.2456033333,37,FALSE,INaturalist
240837284,Pseudacris crucifer,2024,-89.7237166667,43.4168133333,4,FALSE,INaturalist
240837042,Pseudacris crucifer,2024,-89.7294916667,43.43082,201,FALSE,INaturalist
240828359,Pseudacris crucifer,2024,-64.3176451698,44.5487883203,44,FALSE,INaturalist
240803809,Pseudacris crucifer,2024,-85.68222,43.8360116667,11,FALSE,INaturalist
240794040,Pseudacris crucifer,2024,-60.4138779837,46.6575144565,5,FALSE,INaturalist
240743498,Pseudacris crucifer,2024,-92.9587633333,45.0738333333,5,FALSE,INaturalist
240672431,Pseudacris crucifer,2024,-75.8477866667,45.67878,4,FALSE,INaturalist
240669183,Pseudacris crucifer,2024,-76.0641028333,44.496345,16,FALSE,INaturalist
240653267,Pseudacris crucifer,2024,-85.3330166667,44.843575,4,FALSE,INaturalist
240634103,Pseudacris crucifer,2024,-72.0469361667,45.1755866667,4,FALSE,INaturalist
240629140,Pseudacris crucifer,2024,-82.64869166,40.7256002317,8,FALSE,INaturalist
240605293,Pseudacris crucifer,2024,-84.0261081,34.0063847,210,FALSE,INaturalist
240602066,Pseudacris crucifer,2024,-74.7765277294,41.0410105933,7,FALSE,INaturalist
240538647,Pseudacris crucifer,2024,-74.3849998666,40.9477214602,364,FALSE,INaturalist
240477554,Pseudacris crucifer,2024,-79.944305,43.4696216667,17,FALSE,INaturalist
